GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
DYX1C1,0.000466863,0.0000453,-6.399727751,2.177469334,-1.126866319,1.126866319
RXFP4,0.00047043,0.0000458,6.392405448,2.166793714,1.014393207,1.014393207
SATL1,0.000476383,0.0000466,6.379008736,2.147242337,2.263204004,2.263204004
LAMP3,0.000476383,0.0000466,6.378817716,2.146963378,1.45164037,1.45164037
OR7C2,0.000477984,0.0000469,6.374513654,2.140676485,1.009105931,1.009105931
CSF3,0.000478557,0.000047,6.372847511,2.138242071,1.060561823,1.060561823
LOC100129387,0.000486299,0.0000482,-6.35499844,2.112138121,-1.066378024,1.066378024
LCE1C,0.000506454,0.0000513,6.311759139,2.048715243,1.067515316,1.067515316
C9orf135,0.000510006,0.0000519,-6.303578093,2.036685699,-1.137292797,1.137292797
LOC400968,0.000513368,0.0000524,6.296612702,2.026436222,1.042540172,1.042540172
KHDRBS3,0.000513796,0.0000525,6.295146539,2.02427791,1.58506524,1.58506524
IYD,0.000519853,0.0000533,6.284508183,2.008608277,1.402249464,1.402249464
GFRA1,0.000525125,0.0000542,6.273236589,1.991988461,1.426940369,1.426940369
EMX1,0.000525982,0.0000543,6.271299153,1.989129928,1.049011905,1.049011905
MARVELD1,0.000534906,0.0000557,6.25437278,1.964133808,1.081904058,1.081904058
LOC100134713,0.000537719,0.0000561,6.248972585,1.956150503,1.04451114,1.04451114
AK7,0.000552993,0.0000585,-6.219304506,1.912217392,-1.033585872,1.033585872
GPAT2,0.000554992,0.0000589,6.214999336,1.905831839,1.051845288,1.051845288
ALAS2,0.000559726,0.0000597,6.205052458,1.891068283,1.145823847,1.145823847
C10orf107,0.000560673,0.0000599,-6.203110772,1.888184717,-1.101326152,1.101326152
TPPP3,0.000567006,0.0000611,-6.188837813,1.866971754,-1.379157106,1.379157106
OR10H1,0.000577811,0.0000632,6.166167368,1.833218682,1.333074169,1.333074169
LRCH4,0.000579777,0.0000635,6.162739766,1.828109114,1.004284156,1.004284156
C1orf88,0.000587286,0.0000647,-6.150076361,1.809217137,-1.046575703,1.046575703
