,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
CASP2,258.9124679,0.160854489,0.160854489,0.074939248,4.580970027,0.032328909,0.078837163
MAP4K1,258.9124679,0.160854489,0.160854489,0.074939248,4.580970027,0.032328909,0.078837163
EBI3,8.003732211,-0.4459413,0.4459413,0.207880796,4.542442569,0.033064379,0.080000568
NOS2,7.998602345,-0.445378833,0.445378833,0.207654888,4.540922115,0.03309376,0.080000568
CTSG,31.79675798,1.227994475,1.227994475,0.57009839,2.154004461,0.031239822,0.080034766
IL28A/B,9.298437371,-0.410874092,0.410874092,0.192680787,4.498608322,0.033922451,0.081648842
CD86,161.384361,-0.361151459,0.361151459,0.174297335,4.408252383,0.035765464,0.085713784
TRAF2,95.37576767,0.416102851,0.416102851,0.197200707,2.11004746,0.034854268,0.086985436
CDKN1A,122.5694648,0.492270246,0.492270246,0.234349314,2.100583261,0.035677565,0.088279102
CD70,10.06200682,0.424138838,0.424138838,0.206826185,4.304548569,0.038010582,0.090315742
PTGER4,120.2586765,-0.381139225,0.381139225,0.186838013,4.272862404,0.038725644,0.091623225
BCL6,621.9313578,0.525059155,0.525059155,0.252805704,2.076927642,0.037808238,0.093153063
KLRC2,193.1787827,0.434163097,0.434163097,0.210372223,2.063785281,0.039038079,0.095223137
TLR4,649.2754182,0.431761062,0.431761062,0.209319112,2.062692979,0.039141807,0.095223137
CASP1,996.6168798,0.417939359,0.417939359,0.203454295,2.054217427,0.039954652,0.096793907
MSR1,61.52469319,0.638518075,0.638518075,0.311688211,2.048579484,0.040503252,0.097216656
PSMD7,536.4445335,0.235413776,0.235413776,0.114989856,2.047256891,0.040632868,0.097216656
NFIL3,306.4393446,-0.478047571,0.478047571,0.23883333,4.157129748,0.041459604,0.097263881
EGR1,9.989601156,-0.405412199,0.405412199,0.200308753,4.066816389,0.043733626,0.099918947
MAPK11,18.56102184,-0.402676159,0.402676159,0.203021765,3.998390642,0.045543731,0.103356386
TNFRSF14,425.2306986,-0.250905884,0.250905884,0.127229943,3.965068386,0.046453635,0.104567697
NFATC1,117.1089072,0.29417546,0.29417546,0.147773667,3.884415173,0.048736233,0.109263491
